"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 05 00:04:08 MSK 2026","Sun Apr 05 00:04:10 MSK 2026","2512","","Конструктор бургеров","","ru.yandex.praktikum.tests.ConstructorTest","switchToBuns[Браузер: chrome]","Переход к разделу 'Булки'","При клике на вкладку 'Булки' она становится активной"
"passed","Sun Apr 05 00:03:51 MSK 2026","Sun Apr 05 00:03:57 MSK 2026","5895","","Вход в систему","","ru.yandex.praktikum.tests.LoginTest","loginTest[Браузер: yandex, Способ входа: REGISTER_PAGE_LINK]","Вход через разные кнопки","Проверка возможности входа в систему через различные точки входа"
"passed","Sun Apr 05 00:04:19 MSK 2026","Sun Apr 05 00:04:21 MSK 2026","2802","","Регистрация пользователя","","ru.yandex.praktikum.tests.RegisterTest","shortPasswordError[Браузер: chrome]","Ошибка для короткого пароля","Проверка, что при вводе пароля менее 6 символов отображается сообщение об ошибке"
"passed","Sun Apr 05 00:04:29 MSK 2026","Sun Apr 05 00:04:33 MSK 2026","3972","","Регистрация пользователя","","ru.yandex.praktikum.tests.RegisterTest","successfulRegistration[Браузер: yandex]","Успешная регистрация","Проверка регистрации нового пользователя через форму регистрации"
"passed","Sun Apr 05 00:04:02 MSK 2026","Sun Apr 05 00:04:06 MSK 2026","3882","","Конструктор бургеров","","ru.yandex.praktikum.tests.ConstructorTest","switchToFillings[Браузер: chrome]","Переход к разделу 'Начинки'","При клике на вкладку 'Начинки' она становится активной"
"passed","Sun Apr 05 00:03:30 MSK 2026","Sun Apr 05 00:03:34 MSK 2026","4067","","Вход в систему","","ru.yandex.praktikum.tests.LoginTest","loginTest[Браузер: chrome, Способ входа: REGISTER_PAGE_LINK]","Вход через разные кнопки","Проверка возможности входа в систему через различные точки входа"
"passed","Sun Apr 05 00:03:25 MSK 2026","Sun Apr 05 00:03:30 MSK 2026","4860","","Вход в систему","","ru.yandex.praktikum.tests.LoginTest","loginTest[Браузер: chrome, Способ входа: PERSONAL_ACCOUNT_BUTTON]","Вход через разные кнопки","Проверка возможности входа в систему через различные точки входа"
"passed","Sun Apr 05 00:04:10 MSK 2026","Sun Apr 05 00:04:14 MSK 2026","3777","","Конструктор бургеров","","ru.yandex.praktikum.tests.ConstructorTest","switchToFillings[Браузер: yandex]","Переход к разделу 'Начинки'","При клике на вкладку 'Начинки' она становится активной"
"passed","Sun Apr 05 00:04:14 MSK 2026","Sun Apr 05 00:04:16 MSK 2026","2184","","Конструктор бургеров","","ru.yandex.praktikum.tests.ConstructorTest","switchToSauces[Браузер: yandex]","Переход к разделу 'Соусы'","При клике на вкладку 'Соусы' она становится активной"
"passed","Sun Apr 05 00:03:08 MSK 2026","Sun Apr 05 00:03:25 MSK 2026","16571","","Вход в систему","","ru.yandex.praktikum.tests.LoginTest","loginTest[Браузер: chrome, Способ входа: MAIN_PAGE_BUTTON]","Вход через разные кнопки","Проверка возможности входа в систему через различные точки входа"
"passed","Sun Apr 05 00:04:16 MSK 2026","Sun Apr 05 00:04:19 MSK 2026","2337","","Конструктор бургеров","","ru.yandex.praktikum.tests.ConstructorTest","switchToBuns[Браузер: yandex]","Переход к разделу 'Булки'","При клике на вкладку 'Булки' она становится активной"
"passed","Sun Apr 05 00:03:45 MSK 2026","Sun Apr 05 00:03:51 MSK 2026","6257","","Вход в систему","","ru.yandex.praktikum.tests.LoginTest","loginTest[Браузер: yandex, Способ входа: PERSONAL_ACCOUNT_BUTTON]","Вход через разные кнопки","Проверка возможности входа в систему через различные точки входа"
"passed","Sun Apr 05 00:03:57 MSK 2026","Sun Apr 05 00:04:02 MSK 2026","4872","","Вход в систему","","ru.yandex.praktikum.tests.LoginTest","loginTest[Браузер: yandex, Способ входа: FORGOT_PASSWORD_PAGE_LINK]","Вход через разные кнопки","Проверка возможности входа в систему через различные точки входа"
"passed","Sun Apr 05 00:03:34 MSK 2026","Sun Apr 05 00:03:37 MSK 2026","3213","","Вход в систему","","ru.yandex.praktikum.tests.LoginTest","loginTest[Браузер: chrome, Способ входа: FORGOT_PASSWORD_PAGE_LINK]","Вход через разные кнопки","Проверка возможности входа в систему через различные точки входа"
"passed","Sun Apr 05 00:03:37 MSK 2026","Sun Apr 05 00:03:45 MSK 2026","7820","","Вход в систему","","ru.yandex.praktikum.tests.LoginTest","loginTest[Браузер: yandex, Способ входа: MAIN_PAGE_BUTTON]","Вход через разные кнопки","Проверка возможности входа в систему через различные точки входа"
"passed","Sun Apr 05 00:04:21 MSK 2026","Sun Apr 05 00:04:25 MSK 2026","3709","","Регистрация пользователя","","ru.yandex.praktikum.tests.RegisterTest","successfulRegistration[Браузер: chrome]","Успешная регистрация","Проверка регистрации нового пользователя через форму регистрации"
"passed","Sun Apr 05 00:04:06 MSK 2026","Sun Apr 05 00:04:08 MSK 2026","1660","","Конструктор бургеров","","ru.yandex.praktikum.tests.ConstructorTest","switchToSauces[Браузер: chrome]","Переход к разделу 'Соусы'","При клике на вкладку 'Соусы' она становится активной"
"passed","Sun Apr 05 00:04:25 MSK 2026","Sun Apr 05 00:04:29 MSK 2026","3547","","Регистрация пользователя","","ru.yandex.praktikum.tests.RegisterTest","shortPasswordError[Браузер: yandex]","Ошибка для короткого пароля","Проверка, что при вводе пароля менее 6 символов отображается сообщение об ошибке"
